title,authors,categories,average_rating
No Heroes,Chris Offutt,Biography & Autobiography,"3,85"
Jukebox Queen Of Malta,Nicholas Rinaldi,Fiction,"3,47"
Yesterday I Cried,Iyanla Vanzant,Self-Help,"4,22"
Of Time and the River,Thomas Wolfe,Fiction,"4,19"
Picture This,Joseph Heller,Fiction,"3,68"
The Mutineer,Hunter S. Thompson,Biography & Autobiography,"4,1"
Hey Rube,Hunter S. Thompson,Literary Collections,"3,68"
Screwjack,Hunter S. Thompson,Fiction,"3,57"
Exclusion and Embrace,Miroslav Volf,Religion,"4,27"
The Merlin Trilogy,Mary Stewart,Fiction,"4,39"
Karate is a Thing of the Spirit,Harry Crews,Fiction,"3,84"
Leadership and the One Minute Manager,Ken Blanchard;Patricia Zigarmi;Drea Zigarmi,Business & Economics,"3,97"
Zen and the Art of Motorcycle Maintenance,Robert M. Pirsig,Essentialism (Philosophy),"3,77"
A Short History of World War II,James L. Stokesbury,History,"3,93"
Worlds enough and time,Joe Haldeman;Joe W. Haldeman,Fiction,"3,7"
The first man in Rome,Colleen McCullough,Fiction,"4,1"
Ten Days to Self-Esteem,David D. Burns,Self-Help,"3,97"
Korean Short History,James L. Stokesbury,History,"3,65"
Trapped in T Mirror,Elan Golomb,Family & Relationships,"3,82"
"Julius, the Baby of the World",Kevin Henkes,Juvenile Fiction,"4,27"
The Twelve Dancing Princesses,Marianna Mayer,Juvenile Fiction,"4,32"
Love Poems,Nikki Giovanni,Poetry,"4,27"
Behind a Mask,Louisa May Alcott,Fiction,"3,76"
NYC Ballet Workout,Peter Martins,Health & Fitness,4
Kevin Trudeau's Mega Memory,Kevin Trudeau,Self-Help,"3,51"
Chester's Way,Kevin Henkes,Juvenile Fiction,"4,22"
The Purpose of Your Life,Carol Adrienne,"Body, Mind & Spirit","3,75"
Naked Pictures of Famous People,Jon Stewart,Humor,"3,59"
Phantoms in the Brain,V. S. Ramachandran,Medical,"4,25"
The Lost Tomb,Kent R. Weeks,Social Science,"4,07"
Cloudy With a Chance of Meatballs,Judi Barrett,Juvenile Fiction,"4,16"
The Bears on Hemlock Mountain,Alice Dalgliesh,Juvenile Fiction,"3,78"
The Fourth of July Story,Alice Dalgliesh,Juvenile Nonfiction,4
My Name Is Maria Isabel,Alma Flor Ada;Ana M. Cerro,Juvenile Fiction,"3,88"
Hitty Her First Hundred Years,Rachel Field,Juvenile Fiction,"3,85"
A Child's Garden of Verses,Robert Louis Stevenson,Juvenile Fiction,"4,3"
Sad Underwear and Other Complications,Judith Viorst,Juvenile Nonfiction,"3,87"
Salt in His Shoes,Deloris Jordan;Roslyn M. Jordan,Juvenile Nonfiction,"4,21"
Where Is Baby's Mommy?,Karen Katz,Juvenile Nonfiction,"4,15"
Poppy,Avi,Children's stories,"3,96"
Silver on the Tree,Susan Cooper,Juvenile Fiction,"4,15"
The Tombs of Atuan,Ursula K. Le Guin,Fiction,"4,09"
"Sagwa, The Chinese Siamese Cat",Amy Tan,Juvenile Fiction,"4,02"
The Storm,Cynthia Rylant,Juvenile Fiction,"4,18"
Voting Rights Days,Ellen Weiss,Juvenile Fiction,"4,3"
Counting Christmas,Karen Katz,Juvenile Fiction,"3,56"
Who Wants a Cheap Rhinoceros?,Shel Silverstein,Juvenile Fiction,"3,96"
"What a Scare, Jesse Bear",Nancy White Carlstrom,Juvenile Fiction,"3,47"
The House of the Scorpion,Nancy Farmer,Young Adult Fiction,"4,1"
Dragondrums,Anne McCaffrey,Juvenile Fiction,"4,06"
Dragonsinger,Anne McCaffrey,Juvenile Fiction,"4,28"
"Moo, Baa, la la La!",Sandra Boynton,Animal sounds,"4,2"
The Octopus,Cynthia Rylant;Preston McDaniels,Juvenile Fiction,"4,16"
The Eagle,Cynthia Rylant;Preston McDaniels,Juvenile Fiction,"4,08"
Rash,Pete Hautman,Juvenile Fiction,"3,75"
The Children's Homer,Padraic Colum,Juvenile Fiction,"3,89"
Invisible,Pete Hautman,Juvenile Fiction,"3,84"
Beatrice's Goat,Page McBrier,Juvenile Nonfiction,"4,24"
Michael's Golden Rules,Deloris Jordan;Michael Jordan,Juvenile Fiction,"3,95"
Amelia's 6th-Grade Notebook,Marissa Moss,Juvenile Fiction,"4,01"
The Au Pairs,Melissa de la Cruz,Juvenile Fiction,"3,65"
I Love Saturdays y domingos,Alma Flor Ada,Juvenile Fiction,"4,03"
Star Bright,Cathy Hapka,Juvenile Nonfiction,"3,67"
Alanna,Tamora Pierce,Juvenile Fiction,"4,27"
The Woman Who Rides Like a Man,Tamora Pierce,Juvenile Fiction,"4,21"
Soldiers of Destruction,Charles W. Sydnor,History,4
"Sounds, Feelings, Thoughts",Wisława Szymborska,Poetry,"4,33"
Dionysiac Poetics and Euripides' Bacchae,Charles Segal,Literary Criticism,"4,62"
The Myth of the Eternal Return,Mircea Eliade,Social Science,"4,23"
Eugene Onegin: Commentary and index,Aleksandr Sergeevich Pushkin,Literary Criticism,"4,22"
EUGENE ONEGIN - A NOVEL IN VERSE V.1,Aleksandr Sergeevich Pushkin,Literary Criticism,"4,22"
The Essential Kierkegaard,S瞨en·Kierkegaard,Philosophy,"4,18"
A Source Book in Indian Philosophy,"Sarvepalli Radhakrishnan, Sir",Philosophy,"4,11"
Fear and Trembling,Soren Aabye Kierkegaard;Søren Kierkegaard,Christianity,"4,1"
Philosophy and the Mirror of Nature,Richard Rorty,Philosophy,4
Images and Symbols,Mircea Eliade,Religion,"4,15"
Vladimir Nabokov,Brian Boyd,Biography & Autobiography,"4,31"
The Rise of Christianity,Rodney Stark,Religion,"4,04"
Making Democracy Work,Robert D. Putnam;Robert Leonardi;Raffaella Nanetti,Political Science,"3,83"
Multiculturalism,Charles Taylor;Amy Gutmann,Philosophy,"3,81"
The Nature of Space and Time,Stephen Hawking;Roger Penrose,Science,"4,09"
The Essential John Nash,John Nash,Mathematics,"3,92"
The complete works of Aristotle,Aristoteles,"Philosophy, Ancient","4,43"
The Complete Works of Aristotle,Aristotle,Philosophy,"4,43"
Hamlet in Purgatory,Stephen Greenblatt,Drama,"3,94"
The Two-Mile Time Machine,Richard B. Alley,Science,"3,99"
Shamanism,Mircea Eliade,"Body, Mind & Spirit","4,22"
Hegel's Preface to the Phenomenology of Spirit,Georg Wilhelm Friedrich Hegel;Yirmiyahu Yovel,Philosophy,"4,04"
On Bullshit,Harry G. Frankfurt,Philosophy,"3,57"
The Chronicles of Narnia CD Box Set,C. S. Lewis,Juvenile Fiction,"4,26"
Sisters,Charles Higham,Biography & Autobiography,"3,3"
Many Luscious Lollipops,Ruth Heller,Juvenile Nonfiction,"4,06"
"Mine, All Mine",Ruth Heller,Juvenile Nonfiction,"4,07"
Fantastic! Wow! and Unreal!,Ruth Heller,Juvenile Nonfiction,"4,21"
The Risk of Darkness,Susan Hill,Detective and mystery stories,"3,95"
The Egg and I,Betty MacDonald,Farm life,"3,93"
The Time Machine,Herbert George Wells,"Science fiction, English","4,13"
The Beatles years,Barry Miles;Keith Badman,Biography & Autobiography,"4,53"
The Mansion on the Hill,Fred Goodman,Music trade,"3,93"
The World is Flat,Thomas L. Friedman,Computer science,"3,68"
America,Jon Stewart;Ben Karlin;David Javerbaum,Democracy,"4,02"
Hooked,Pauline Kael,Motion pictures,"4,04"
Alfred Hitchcock and the Making of Psycho,Stephen Rebello,Psycho (Motion picture : 1960),"3,9"
Euripides,Pantelis Michelakis,Drama,"4,02"
The Egyptologist,Arthur Phillips,Americans,"3,27"
Economics: European Edition,Paul Krugman;Robin Wells;Kathryn Graddy,Business & Economics,"3,95"
Banker,Dick Francis,Fiction,"4,04"
Sushi for Beginners,Marian Keyes,Business women,"3,69"
Medicus and the Disappearing Dancing Girls,Ruth Downie,Detective and mystery stories,"3,73"
Orientalism,John MacKenzie;John MacDonald MacKenzie,Art,"2,95"
A Farewell to Arms?,Michael Cox;Adrian Guelke;Fiona Stephen,History,"4,33"
Maisie Dobbs,Jacqueline Winspear,Detective and mystery stories,"3,92"
Birds of a Feather,Jacqueline Winspear,Children of the rich,"3,96"
Black Sugar,Jeremy Reed,"Erotic poetry, English","4,2"
Robbins and Cotran Review of Pathology,Edward C. Klatt;Stanley Leonard Robbins;Vinay Kumar,Medical,"4,37"
The Valkyries,Paulo Coelho,Angels,"3,31"
How to Seduce Your Dream Man,Anna Maxted,Man-woman relationships,"3,89"
Mutant Message from Forever,Marlo Morgan,Aboriginal Australians,"3,73"
The Tale of Jemima Puddle-Duck,Beatrix Potter,Juvenile Nonfiction,"4,06"
The Tale of The Flopsy Bunnies,Beatrix Potter,Juvenile Nonfiction,"4,19"
The World of Peter Rabbit,Beatrix Potter,Juvenile Fiction,"4,63"
A Journal,Beatrix Potter (Illustratorin),"Novelists, English","4,34"
The Dig,Alan Dean Foster;Sean Clark,Interplanetary voyages,"3,4"
Exit to Eden,Anne Rampling;Anne Rice,Photographers,"3,57"
Desert Heat,Ja Jance;Judith A. Jance,Fiction,4
The Dark City,Max Allan Collins,Fiction,"3,87"
Code,Charles Petzold,Computers,"4,38"
Writing Secure Code,Michael Howard;David LeBlanc,Computers,"4,01"
Homepage Usability,Jakob Nielsen;Marie Tahir,Business enterprises,"3,72"
"The Girlhood Diary of Louisa May Alcott, 1843-1846",Louisa May Alcott,Juvenile Nonfiction,"3,87"
"Israel, My Beloved",Kay Arthur,Fiction,"4,17"
Living with Passion and Purpose,Elizabeth George,Religion,"3,96"
The Rapture,Tim F. LaHaye,Religion,"3,52"
Life Management for Busy Women,Elizabeth George,Religion,"4,54"
Simple Acts of Faith,Margaret Feinberg,Religion,"4,55"
A Wife After God's Own Heart Growth and Study Guide,Elizabeth George,Religion,"4,75"
Loving God with All Your Mind,Elizabeth George,Religion,"4,43"
The Greenlander,Mark Adlard,Adventure stories,"3,72"
Perfectly Reasonable Deviations from the Beaten Track,Richard Phillips Feynman,Biography & Autobiography,"4,24"
Juneau and Sauk Counties,Jacqueline Ann;Sheila Zenk,History,"2,67"
Sebastopol,Western Sonoma County Historical Society,History,"4,4"
Lake Orion,James E. Ingram;Lori Grove,History,5
Cypress Gardens,Mary M. Flekke;Sarah E. MacDonald;Randall M. MacDonald,History,3
Center City Philadelphia in the 19th Century,The Print and Photograph Department of the Library Company of Philadelphia,History,"4,44"
Selections from the Oakland Tribune Archives,Annalee Allen,History,3
Book of Nightmares,John Peel,Fiction,"4,11"
Rincewind the Wizzard,Terry Pratchett,Discworld (Imaginary place),"4,21"
Hitchhiker's Trilogy,Douglas Adams,"Dent, Arthur (Fictitious character)","4,4"
All the Pretty Horses,Cormac McCarthy,Americans,"3,98"
The Chrestomanci Quartet,Diana Wynne Jones,Chrestomanci (Fictitious character),"4,5"
The Last Herald-mage,Mercedes Lackey,"Fantasy fiction, American","4,48"
Wizard's Castle,Diana Wynne Jones,Fantasy,"4,44"
A Tolkien Miscellany,John Ronald Reuel Tolkien,"Fantasy fiction, English","4,11"
The Abhorsen Trilogy,Garth Nix,"Fantasy fiction, American","4,66"
The complete guide to Middle-earth,Robert Foster,Literary Criticism,"4,17"
Time Quartet,Madeleine L'Engle,Science fiction,"4,35"
The Foundation Trilogy,Isaac Asimov,Science fiction,"4,4"
The Christmas Thief,Mary Higgins Clark,Christmas stories,"3,61"
Night fall,Nelson DeMille,Fiction,"4,09"
The Sundering,Jacqueline Carey,Brothers,"3,82"
Marley and me : love and life with the world's worst dog,John Grogan,Labrador retriever,"4,13"
Twelve sharp,Janet Evanovich,Bail bond agents,"4,14"
Bill Gates,Sara Barton-Wood,Juvenile Nonfiction,5
Another Day in Paradise,Jim Toomey,Humor,"4,34"
Calvin and Hobbes: Sunday Pages 1985-1995,Bill Watterson,Comics & Graphic Novels,"4,71"
Another Day in Cubicle Paradise,Scott Adams,Humor,"3,99"
The Complete Calvin and Hobbes,Bill Watterson,Comics & Graphic Novels,"4,82"
Chomsky on Miseducation,Noam Chomsky,Education,"3,77"
A Primate's Memoir,Robert M. Sapolsky,Nature,"4,35"
"New Jewish Wedding, Revised",Anita Diamant,Reference,"3,96"
Bowling Alone,Robert D. Putnam,History,"3,79"
The Blackwater Lightship,Colm Toibin,Fiction,"3,86"
The Most Of P.G. Wodehouse,P.G. Wodehouse,Fiction,"4,49"
"How Right You Are, Jeeves",P.G. Wodehouse,Fiction,"4,17"
Jeeves And The Tie That Binds,P.G. Wodehouse,Fiction,"4,23"
The Body Artist,Don DeLillo,Fiction,"3,24"
Sarah Ban Breathnach's Mrs. Sharp's Traditions,Sarah Ban Breathnach,Family & Relationships,"4,07"
Not Much Fun,Stuart Y. Silverstein,Biography & Autobiography,"4,18"
An Hour Before Daylight,Jimmy Carter,Biography & Autobiography,"3,89"
Cover Her Face,P.D. James,Fiction,"3,94"
Drugs and Crime Deviant Pathways,Cândido da Agra;Serge Brochu;Marie-Marthe Cousineau,Criminal behavior,"3,83"
The Skull Beneath the Skin,P. D. James,Fiction,"3,8"
Authentic Happiness,Martin E. P. Seligman,Psychology,"3,95"
Yanks,John Eisenhower,History,"3,69"
Man and Boy,Tony Parsons,Fiction,"3,56"
Seventeen Seventy-six,David McCullough,Biography & Autobiography,"4,07"
President Nixon,Richard Reeves,Biography & Autobiography,"3,96"
The Other Boleyn Girl,Philippa Gregory,Fiction,"4,05"
Shampoo Planet,Douglas Coupland,Fiction,"3,5"
Them,Jon Ronson,Political Science,"3,95"
Shout!,Philip Norman,Biography & Autobiography,"4,03"
Man and Wife,Tony Parsons,Fiction,"3,48"
Teacher Man,Frank McCourt,Biography & Autobiography,"3,75"
The Partly Cloudy Patriot,Sarah Vowell,History,"3,88"
Will You Miss Me When I'm Gone?,Mark Zwonitzer;Charles Hirshberg,Biography & Autobiography,"4,27"
Cosmopolis,Don DeLillo,Fiction,"3,22"
Chronicles,Bob Dylan,Biography & Autobiography,"3,98"
The Boat of Dreams,Richard Preston,Fiction,"3,31"
The Glass Castle,Jeannette Walls,Biography & Autobiography,"4,26"
Wideacre,Philippa Gregory,Fiction,"3,3"
The Favored Child,Philippa Gregory,Fiction,"3,61"
The Master,Colm Toibin,Fiction,"3,83"
Generation of Swine,Hunter S. Thompson,Biography & Autobiography,"3,77"
The Great Shark Hunt,Hunter S. Thompson,Biography & Autobiography,"4,08"
The 7 Habits of Highly Effective People Personal Workbook,Stephen R. Covey,Self-Help,"4,22"
Sea of Thunder,Evan Thomas,History,"4,11"
A Separate Peace,John Knowles,Fiction,"3,57"
Plan of Attack,Bob Woodward,Political Science,"3,67"
Frankenstein,Mary Wollstonecraft Shelley,Fiction,"3,78"
The Scarpetta Collection Volume II,Patricia Cornwell,Fiction,"4,15"
The Trial of Queen Caroline,Jane Robins,Biography & Autobiography,"3,37"
Benjamin Franklin,Walter Isaacson,Biography & Autobiography,"3,99"
The Sleeping Doll,Jeffery Deaver,Fiction,"3,93"
Liars and Saints,Maile Meloy,Fiction,"3,59"
"Cry, the Beloved Country",Alan Paton,Fiction,"3,89"
Einstein,Walter Isaacson,Biography & Autobiography,"4,1"
I Heard that Song Before,Mary Higgins Clark,Fiction,"3,82"
I'm Too Young To Be Seventy,Judith Viorst,Humor,"3,94"
The Virgin's Lover,Philippa Gregory,Fiction,"3,7"
The 7 Habits of Highly Effective People,Stephen R. Covey,Self-Help,"4,09"
The Organized Student,Donna Goldberg,Family & Relationships,"3,84"
Team of Rivals,Doris Kearns Goodwin,Biography & Autobiography,"4,28"
Untouchables,Narendra Jadhav,Biography & Autobiography,"3,82"
Brokeback Mountain,Annie Proulx,Fiction,"3,94"
Love Smart,Dr. Phil McGraw,Family & Relationships,"3,55"
The Constant Princess,Philippa Gregory,Fiction,"3,89"
The Boleyn Inheritance,Philippa Gregory,Fiction,"3,86"
Virgin Earth,Philippa Gregory,Fiction,"3,61"
How to Win Friends and Influence People for Teen Girls,Donna Dale Carnegie,Self-Help,"3,9"
The Good Earth,Pearl S. Buck,Fiction,"3,98"
Love-Lies-Bleeding,Don DeLillo,Euthanasia,
The Coffin Dancer,Jeffery Deaver,Fiction,"4,17"
Diary of a Mistress,Miasha,Fiction,"4,35"
Female Chauvinist Pigs,Ariel Levy,Social Science,"3,68"
Persian Mirrors,Elaine Sciolino,History,"3,82"
Chuck Klosterman IV,Chuck Klosterman,Biography & Autobiography,"3,85"
Kissinger,Walter Isaacson,Biography & Autobiography,"3,94"
Lisey's Story,Stephen King,Fiction,"3,67"
True Evil,Greg Iles,Fiction,"4,08"
You On A Diet,M. D. Roizen (Michael F.);Michael F. Roizen,Reducing diets,"3,65"
The Good House,Tananarive Due,Fiction,"3,93"
Does Anything Eat Wasps?,New Scientist,Humor,"3,51"
The SPEED of Trust,Stephen R. Covey;Rebecca R. Merrill,Business & Economics,"3,98"
"Look Homeward, Angel",Thomas Wolfe,Fiction,"3,94"
Fargo Rock City,Chuck Klosterman,Music,"3,8"
Eye of the Storm,Virginia C. Andrews,Partition of decedents' estates,"3,82"
Like Shaking Hands With God,Kurt Vonnegut Jr.;Lee Stringer,Biography & Autobiography,"3,72"
The Second Time Around,Mary Higgins Clark,Fiction,"3,75"
The Inhuman Condition,Clive Barker,Fiction,"3,97"
Star Trek Voyager Companion,Paul Ruditis,Fiction,"3,95"
Deck the Halls,Mary Higgins Clark;Carol Higgins Clark,Fiction,"3,61"
Music & Silence,Rose Tremain,Fiction,"3,95"
Salem Falls,Jodi Picoult,Fiction,"3,81"
Perfect Match,Jodi Picoult,Fiction,"3,94"
"God Bless You, Dr. Kevorkian",Kurt Vonnegut,Fiction,"3,84"
Blink-182,Blink-182;Anne Hoppus;Tom Delonge;Mark Hoppus;Travis Barker,Biography & Autobiography,"4,4"
The Diablo: The Black Road,Mel Odom,Fiction,"3,67"
The Diablo: The Kingdom of Shadow,Richard A. Knaak,Fiction,"3,94"
The Twentieth Wife,Indu Sundaresan,Fiction,"4,04"
Black Cat,V. C. Andrews,Fiction,"3,75"
Last Man Standing,David Baldacci,English fiction,"4,05"
Songs of the Humpback Whale,Jodi Picoult,Fiction,"3,2"
March Upcountry,David Weber;John Ringo,Fiction,"4,18"
Roughing It,Mark Twain,Fiction,"3,9"
The Shining,Stephen King,Fiction,"4,21"
The Vanished Man,Jeffery Deaver,Fiction,"4,09"
One More for the Road,Ray Bradbury,"Fantasy fiction, American","3,69"
Double Dealer,Max Allan Collins,Fiction,"3,65"
Shooting Stars Omnibus,V.C. Andrews,Fiction,"3,94"
Serpent,Clive Cussler;Paul Kemprecos,Archaeological expeditions,"3,9"
Shock Wave,Clive Cussler,Adventure stories,"4,01"
The Footprints of God,Greg Iles,Fiction,"3,77"
My Sister's Keeper,Jodi Picoult,Fiction,"4,07"
Vanishing Acts,Jodi Picoult,Fiction,"3,69"
On Writing,Stephen King,Biography & Autobiography,"4,33"
Sex and the City,Amy Sohn;Sarah Jessica Parker,Fiction,4
He Sees You When You're Sleeping,Mary Higgins Clark;Carol Higgins Clark,Fiction,"3,79"
From Sawdust to Stardust,Terry Lee Rioux,Biography & Autobiography,"4,11"
The Honourable Schoolboy,John le Carre,Fiction,"3,95"
Changeling,Roger Zelazny,Fiction,"3,72"
"Click, Clack, Moo",Doreen Cronin;Betsy Lewin,Children's stories,"4,24"
Eight Black Horses,Ed McBain,Fiction,"3,91"
Band of Brothers,Stephen E. Ambrose,History,"4,43"
Pendulum,Amir D. Aczel,Biography & Autobiography,"3,72"
The Price of Pleasure,Kresley Cole,Fiction,4
Fall on Your Knees,Ann-Marie MacDonald,Fiction,"3,96"
Homecoming,Christie Golden,Fiction,"3,91"
First Things First,Stephen R. Covey,Conduct of life,"4,09"
Goodnight Nobody,Jennifer Weiner,Fiction,"3,65"
", said the shotgun to the head.",Saul Williams,Poetry,"4,22"
The Diablo: The Sin War #1: Birthright,Richard A. Knaak,Fiction,"3,74"
Diablo: The Sin War #2: Scales of the Serpent,Blizzard Entertainment,Fiction,"3,86"
Diablo: Moon of the Spider,Richard A. Knaak,Fiction,"3,95"
Paradise,Judith McNaught,Fiction,"4,32"
The Best of Ray Bradbury,Ray Bradbury,Comics & Graphic Novels,"4,07"
Macbeth,William Shakespeare,Drama,"3,89"
Romeo and Juliet,William Shakespeare,Drama,"3,74"
Othello,William Shakespeare,Drama,"3,88"
The Merchant of Venice,William Shakespeare,Drama,"3,8"
Undaunted Courage,Stephen E. Ambrose,Explorers,"4,22"
The Sea Hunters,Clive Cussler;Craig Dirgo,Fiction,"3,82"
Underworld,Greg Cox;Danny McBride,Fiction,"4,09"
Blood Enemy,Greg Cox,Fiction,"3,9"
Twelfth Night,William Shakespeare,Drama,"3,98"
Macbeth,William Shakespeare;Dr. Barbara A. Mowat;Paul Werstine,Drama,"3,89"
Romeo and Juliet,William Shakespeare;Barbara A. Mowat;Paul Werstine,Drama,"3,74"
The Languages of Pao,Jack Vance,Fiction,"3,8"
The Count of Monte Cristo,Alexandre Dumas;Margaret Brantley,Fiction,"4,24"
The Scarlet Letter,Nathaniel Hawthorne;Margaret Brantley,Fiction,"3,39"
Frankenstein,Mary Shelley,Fiction,"3,78"
The Awakening and Selected Stories of Kate Chopin,Kate Chopin;Nina Baym,Fiction,"3,89"
My Antonia,Willa Cather;Alyssa Harad,Fiction,"3,78"
The Notebooks of Lazarus Long,Robert A. Heinlein,Fiction,"4,07"
Twisted,Jeffery Deaver,Fiction,"3,92"
Star Trek: The Original Series: Crucible: McCoy: Provenance of Shadows,David R. George III,Fiction,"4,14"
Star Trek: The Original Series: Crucible: Spock: The Fire and the Rose,David R. George III,Fiction,"3,95"
A Star Trek: The Next Generation: Time #7: A Time to Kill,David Mack,Fiction,"3,97"
Getting the Love You Want,Harville Hendrix,Love,"4,07"
The Manolo Matrix,Julie Kenner,Fiction,"3,61"
Never Go Home Again,Shannon Holmes,Fiction,"4,04"
No Place Like Home,Mary Higgins Clark,Abused wives,"3,86"
Tinker,Wen Spencer,Fiction,"4,07"
This Rough Magic,Mercedes Lackey;Eric Flint;Dave Freer,Fiction,"3,85"
Irish Girls Are Back in Town,Cecelia Ahern;Patricia Scanlan;Gemma O'Connor;Sarah Webb,Fiction,"3,72"
The Dead Yard,Adrian McKinty,Fiction,"4,12"
Performance Assessments for Adult Education,Dan Birlew,Games & Activities,"4,27"
Final Fantasy® Origins Official Strategy Guide,Casey Loe;Laura M. Parkinson,Games,4
Grand Theft Auto,Tim Bogenn;Rick Barba,Games & Activities,"4,04"
World of Warcraft Atlas,Brady Games,Games,"4,08"
Killer 7 Official Strategy Guide,BradyGames,Games,4
Juiced,Doug Walsh,Games,"4,4"
Dragon Quest VIII,Dan Birlew,Games,"4,14"
Castlevania,BradyGames (Firm),Games,"3,7"
Sir Gawain and the Green Knight,Selina Hastings,Arthurian romances,"3,89"
The Sea-thing Child,Russell Hoban,Birds,"3,79"
Propaganda and the Public Mind,David Barsamian;Noam Chomsky,Language and languages,"4,05"
Zizek,Sarah Kay,Social Science,"3,38"
Political Philosophy: A Beginner's Guide for Students and Politicians,Adam Swift,Philosophy,"3,93"
Conversations with Zizek,Slavoj Žižek;Glyn Daly,Philosophy,"3,87"
Sociology,Anthony Giddens;Simon Griffiths,Social Science,"3,96"
Political Philosophy,Adam Swift,Philosophy,"3,93"
The Gifts of the Jews,Thomas Cahill,Bible,"3,87"
Never Far from Nowhere,Andrea Levy,Blacks,"3,68"
Millie's Fling,Jill Mansell,City girl,"3,74"
Neverwhere,Neil Gaiman,Businessmen,"4,18"
Black Evening,David Morrell,Short stories,"3,85"
Deep Waters,Barbara Nadel,Fiction,"3,98"
Open House,Jill Mansell,Humorous fiction,"3,89"
Two's Company,Jill Mansell,Fiction,"3,59"
Solo,Jill Mansell,Chick lit,"3,66"
Hard Eight,Janet Evanovich,Bail bond agents,"4,17"
Kiss,Jill Mansell,Female friendship,"3,68"
Sheer Mischief,Jill Mansell,Cornwall (England : County),"3,83"
The Private Parts of Women,Lesley Glaister,English fiction,"3,82"
"The Gashlycrumb Tinies, Or, After the Outing",Edward Gorey,"American wit and humor, Pictorial","4,19"
"Easy Riders, Raging Bulls",Peter Biskind,Film producers and directors,"4,11"
Harry Potter and the Goblet of Fire,J. K. Rowling,Juvenile Fiction,"4,55"
The Turtle Diary,Russell Hoban,Fiction,4
Ransom,Jay McInerney,Kyoto (Japan),"3,27"
Pastoralia,George Saunders,"Humorous stories, English","4,11"
Pilgermann,Russell Hoban,Crusades,4
Riddley Walker,Russell Hoban,Canterbury (England),"4,03"
The Botany of Desire,Michael Pollan,Social Science,"4,06"
Stanley Yelnats' Survival Guide to Camp Green Lake,Louis Sachar,"Adventure stories, American","3,62"
Tuck Everlasting,Natalie Babbitt,Aging,"3,87"
The Story of Mr Sommer,Patrick Süskind;Michael Hofmann,Fiction,"3,85"
"Super Fast, Out of Control!",Louis Sachar,Children's stories,"3,75"
Wayside School Gets a Little Stranger,Louis Sachar,Children's stories,"4,19"
Sideways Arithmetic from Wayside School,Louis Sachar,Arithmetic,"3,87"
More Sideways Arithmetic from Wayside School,Louis Sachar,Arithmetic,"3,92"
Sideways Stories from Wayside School,Louis Sachar;Peter Allen,Children's stories,"4,15"
The Collected Works of Billy the Kid,Michael Ondaatje,Outlaws,"3,99"
A Sound Like Someone Trying Not to Make a Sound,John Irving,Bedtime,"4,01"
Harry Potter and the Prisoner of Azkaban,J. K. Rowling,England,"4,55"
The Little Friend,Donna Tartt,Brothers,"3,45"
Cherries in the Snow,Emma Forrest,Cosmetics industry,"3,48"
Old School,Tobias Wolff,Authors,"3,82"
When Harry Met Sally,Nora Ephron,Man-woman relationships,"4,24"
Gossip Girl 7,Cecily von Ziegesar,Juvenile Fiction,"3,62"
How to Develop Self-confidence and Influence People by Public Speaking,Dale Carnegie,Confianza en sí mismo,"4,14"
How to Win Friends and Influence People,Dale Carnegie,Conduct of life,"4,18"
The Covenant,James Albert Michener,Fiction,"4,18"
Little Miss Scary,Adam Hargreaves;Roger Hargreaves,Children's stories,"3,73"
Little Miss Bad,Roger Hargreaves,Children's stories,"3,89"
Transform Your Life,Diana Cooper,Self-Help,4
Portrait in Death,J. D. Robb;Nora Roberts,"Dallas, Eve (Fictitious character)","4,38"
Roald Dahl,Jason Hook,"Novelists, English","4,06"
Brand New Justice,Simon Anholt,Business & Economics,"3,69"
Ulysses Found,Ernle Bradford,History,"4,04"
The Story of Philosophy,Bryan Magee,Philosophy,"4,13"
The Physician,Noah Gordon,Fiction,"4,37"
Different Seasons,Stephen King,Escapes,"4,35"
Red Phoenix,Larry Bond,Adventure stories,4
Skeleton Crew,Stephen King,English fiction,"3,95"
Something Under the Bed is Drooling,Bill Watterson,Boys,"4,7"
Pacific Vortex!,Clive Cussler,Fiction,"3,78"
The Helene Hanff Omnibus,Helene Hanff,"Authors, American","4,23"
The Maiden,Cynthia Harrod-Eagles,Fiction,"4,27"
The Tangled Thread,Cynthia Harrod-Eagles,Fiction,"4,31"
Different Seasons,Stephen King,Castle Rock (Me. : Imaginary place),"4,35"
It's a Magical World,Bill Watterson,"American wit and humor, Pictorial","4,76"
The Pilgrim of Hate,Ellis Peters,Benedictine monasteries,"4,07"
Tuesdays with Morrie,Mitch Albom,Amyotrophic lateral sclerosis,"4,09"
Spencerville,Nelson DeMille,Abused wives,"3,66"
The Waiting Sands,Susan Howatch,Fiction,"3,43"
The Dream Kingdom,Cynthia Harrod-Eagles,Fiction,"4,33"
The White Road,Cynthia Harrod-Eagles,Fiction,"4,26"
Something Borrowed,Tina Reilly,Birthparents,"3,69"
The Lost World,Gail Herman,Children's stories,"3,76"
The Sins of the Fathers,Lawrence Block,Detective and mystery stories,"3,87"
Lay Down My Sword and Shield,James Lee Burke,English fiction,"3,89"
The Next Accident,Lisa Gardner,"Conner, Rainie (Fictitious character)","4,17"
The Choirboys,Joseph Wambaugh,Los Angeles (Calif.),"4,06"
The Dain Curse,Dashiell Hammett,Continental Op (Fictitious character),"3,83"
