Book,Author,Genres,Avg_Rating
Drowning Ruth,Christina Schwarz,"Fiction, Mystery, Historical Fiction, Contemporary, Adult Fiction, Adult, Historical","3,75"
The Complete Sherlock Holmes: Volume II,Arthur Conan Doyle,"Classics, Mystery, Fiction, Short Stories, Crime, Detective, Literature","4,48"
City of Shadows,Ariana Franklin,"Historical Fiction, Mystery, Fiction, Historical, Historical Mystery, Germany, Thriller","3,96"
Ship of Fools,Katherine Anne Porter,"Fiction, Classics, Historical Fiction, Novels, Literature, American, Literary Fiction","3,68"
Tweak: Growing Up On Methamphetamines,Nic Sheff,"Nonfiction, Memoir, Biography, Mental Health, Biography Memoir, Audiobook, Psychology","3,96"
I Am the Cheese,Robert Cormier,"Young Adult, Fiction, Mystery, Classics, Teen, School, Thriller","3,76"
The Story of an Hour,Kate Chopin,"Short Stories, Classics, Fiction, School, Feminism, Read For School, American","4,08"
Paradise Lost and Paradise Regained,John Milton,"Classics, Poetry, Fiction, Literature, Religion, Philosophy, Fantasy","4,07"
Escape from Warsaw,Ian Serraillier,"Historical Fiction, Fiction, Childrens, Young Adult, Classics, War, Historical","4,03"
"The Noticer: Sometimes, All a Person Needs Is a Little Perspective",Andy Andrews,"Fiction, Self Help, Inspirational, Personal Development, Philosophy, Faith, Leadership","4,19"
Memórias Póstumas de Brás Cubas,Machado de Assis,"Classics, Fiction, Brazil, Literature, Romance, Novels, Portuguese Literature","4,26"
Love Letters to the Dead,Ava Dellaira,"Young Adult, Contemporary, Fiction, Romance, Realistic Fiction, Coming Of Age, Mental Health","3,8"
Behold the Man,Michael Moorcock,"Science Fiction, Fiction, Time Travel, Fantasy, Religion, Historical Fiction, Alternate History","3,77"
"Locke & Key, Vol. 1: Welcome to Lovecraft",Joe Hill,"Graphic Novels, Comics, Horror, Fantasy, Fiction, Graphic Novels Comics, Mystery","4,15"
The Sculptress,Minette Walters,"Mystery, Crime, Fiction, Thriller, Mystery Thriller, Suspense, British Literature","3,92"
Nice Girls Dont Get the Corner Office: 101 Unconscious Mistakes Women Make That Sabotage Their Careers,Lois P. Frankel,"Nonfiction, Business, Self Help, Feminism, Leadership, Personal Development, Womens","3,68"
The Guardian,Nicholas Sparks,"Romance, Fiction, Chick Lit, Contemporary, Adult, Contemporary Romance, Adult Fiction","4,16"
Of Love and Shadows,Isabel Allende,"Fiction, Historical Fiction, Romance, Magical Realism, Spanish Literature, Latin American, Novels","3,98"
Ordinary Grace,William Kent Krueger,"Fiction, Mystery, Historical Fiction, Coming Of Age, Audiobook, Book Club, Literary Fiction","4,25"
The Plague Dogs,Richard  Adams,"Fiction, Fantasy, Animals, Dogs, Classics, Adventure, Animal Fiction","3,87"
The Holographic Universe,Michael Talbot,"Science, Nonfiction, Philosophy, Physics, Spirituality, Metaphysics, Psychology","4,09"
This Is Not My Hat,Jon Klassen,"Picture Books, Childrens, Animals, Humor, Fiction, Storytime, Fantasy","4,22"
The Algebraist,Iain M. Banks,"Science Fiction, Fiction, Space Opera, Science Fiction Fantasy, Space, Speculative Fiction, Fantasy","4,03"
Magnificent Obsession,Lloyd C. Douglas,"Fiction, Classics, Romance, Novels, Religion, Christian Fiction, Literature","3,87"
The Buddha in the Attic,Julie Otsuka,"Historical Fiction, Fiction, Japan, Historical, Asia, Literary Fiction, Japanese Literature","3,67"
Augustus,John  Williams,"Historical Fiction, Fiction, Classics, Historical, Literature, Novels, American","4,23"
The Nazi Officers Wife: How One Jewish Woman Survived the Holocaust,Edith Hahn Beer,"Nonfiction, History, Holocaust, Memoir, Biography, World War II, Historical","4,16"
"The Armies of the Night: History as a Novel, the Novel as History",Norman Mailer,"History, Nonfiction, Politics, Classics, Memoir, Journalism, Literature","3,63"
Through Time Into Healing,Brian L. Weiss,"Spirituality, Nonfiction, Psychology, Self Help, New Age, Metaphysics, Philosophy","4,19"
Diet for a Small Planet,Frances Moore Lappé,"Food, Nonfiction, Cookbooks, Health, Cooking, Environment, Politics","3,96"
Animalia,Graeme Base,"Picture Books, Childrens, Animals, Fiction, Art, Fantasy, Poetry","4,26"
Mr. Midshipman Hornblower,C.S. Forester,"Historical Fiction, Fiction, Adventure, Classics, Historical, War, Military Fiction","4,17"
Intellectuals: From Marx and Tolstoy to Sartre and Chomsky,Paul  Johnson,"History, Philosophy, Nonfiction, Biography, Politics, Cultural, Psychology","3,85"
Heat and Dust,Ruth Prawer Jhabvala,"Fiction, India, Historical Fiction, Literary Fiction, Literature, Novels, Asia","3,55"
"Dont Overthink It: Make Easier Decisions, Stop Second-Guessing, and Bring More Joy to Your Life",Anne Bogel,"Nonfiction, Self Help, Audiobook, Productivity, Psychology, Health, Mental Health","3,89"
Rich Dads Cashflow Quadrant: Rich Dads Guide to Financial Freedom,Robert T. Kiyosaki,"Business, Finance, Nonfiction, Self Help, Personal Finance, Money, Personal Development","4,14"
The Woman Who Wasnt There: The True Story of an Incredible Deception,Robin Gaby Fisher,"Nonfiction, True Crime, History, Biography, Biography Memoir, Memoir, Crime","3,77"
The Goal: A Process of Ongoing Improvement,Eliyahu M. Goldratt,"Business, Nonfiction, Management, Leadership, Self Help, Buisness, Productivity","4,08"
Pinocchio,Carlo Collodi,"Classics, Fiction, Fantasy, Childrens, Italian Literature, Italy, Adventure","3,85"
The Code: The Five Secrets of Teen Success,Mawi Asgedom,"Nonfiction, Self Help","3,58"
Chasing Dreams,Aaron Jennings,"Travel, Fiction","3,24"
Familiar Scars,Christy Leigh Stewart,"Romance, Fiction, Historical Fiction, Historical, Historical Romance, Victorian","3,97"
The Wreckage of Agathon,John Gardner,"Fiction, Historical Fiction, Novels, American, Philosophy, Literature, Historical","3,83"
HELP! A Bear is Eating Me!,Mykle Hansen,"Humor, Fiction, Bizarro Fiction, Horror, Comedy, Contemporary, Literature","3,48"
"A Girls Guide to Guys: Meeting Them, Managing Them and All That Love Stuff",Rachel Hill,"Relationships, Nonfiction","4,33"
Ordeal,Tatyana K. Varenko,"Vampires, Paranormal Romance, Romance, Paranormal, Fantasy, Young Adult","3,98"
"By Fire, By Water",Mitchell James Kaplan,"Historical Fiction, Fiction, Spain, Historical, Jewish, Judaism, Religion","3,73"
On Power and Ideology: The Managua Lectures,Noam Chomsky,"Politics, Nonfiction, Philosophy, History, Sociology, Essays, Theory","4,12"
The Seed,Fola,"Historical, Fiction","3,58"
Sundial,C.F. Fruzzetti,"Young Adult, Fantasy, Romance, Paranormal, Science Fiction, Fiction, Adventure","3,67"
Moon Over Manifest,Clare Vanderpool,"Historical Fiction, Middle Grade, Young Adult, Fiction, Childrens, Historical, Mystery","4,04"
Mere Enchantment,Alicia Rivoli,"Fantasy, Young Adult, Young Adult Fantasy","3,84"
The Museum of Innocence,Orhan Pamuk,"Fiction, Turkish, Turkish Literature, Novels, Historical Fiction, Romance, Literature","3,77"
Will Work For Peace: New Political Poems,Brett Axel,Banned Books,"4,31"
The First and Last Freedom,J. Krishnamurti,"Philosophy, Spirituality, Nonfiction, Psychology, India, Self Help, Religion","4,21"
Sticks and Stones,Veronica Lovejoy,"New Adult, Romance","3,41"
Where the Deer Dwell,Dorothy Gravelle,"Time Travel, Romance, Fantasy, Science Fiction, Amazon, Fiction, Adventure","3,71"
The Adventures of Jewel Cardwell,Fumi Hancock,Young Adult,4
Legacy of Rescue: A Daughters Tribute,Marta Fuchs,"Holocaust, Nonfiction","4,41"
Until Tuesday: A Wounded Warrior and the Golden Retriever Who Saved Him,Luis Carlos Montalván,"Nonfiction, Animals, Memoir, Dogs, Biography, Military Fiction, Biography Memoir","4,19"
Some Girls Are,Courtney Summers,"Young Adult, Contemporary, Romance, Realistic Fiction, Fiction, High School, Young Adult Contemporary","3,87"
Barriers of the New World,Barbara Rayne,"Dystopia, Adult Fiction","3,7"
Mana,Asher Tensei,Magic,"4,24"
Hard Wired: A Crash Course in Small College Football,Jebb A. Rebal,"Nonfiction, Sports","3,72"
Reverb,J. Cafesin,"Romance, Fiction, Contemporary, Mystery Thriller, Contemporary Romance, Dark, Suspense","3,63"
Lifes A Bitch!,C.P.,"Erotica, Adult Fiction, Romance","3,79"
Logans Run,William F. Nolan,"Science Fiction, Dystopia, Fiction, Classics, Science Fiction Fantasy, Post Apocalyptic, Speculative Fiction","3,65"
From Hurt to Happiness: Emotional Rescue from the Ground Up,Mike Van,"Self Help, Nonfiction, Relationships, Personal Development","4,27"
Memoirs of a Dutiful Daughter,Simone de Beauvoir,"Nonfiction, Feminism, Memoir, Biography, Classics, France, Philosophy","4,12"
"God, Save the Pirate",Ria Warrick,"Christian Romance, Romance","3,29"
Dreaming My Animal Selves/Le Songe de Mes Ames Animales,Helene Cardona,Poetry,"4,77"
Adventure-Pom!,Sean Dryden,"Animals, Young Readers, Dogs, Adventure, Family, Childrens, Picture Books","4,11"
Sorcerers Apprentice,Tahir Shah,"Nonfiction, Travel, India, Memoir, Adventure, Biography, Asia","4,15"
The Scorpions Sting,J.D. Masterson,Fiction,"3,71"
Son of the Morning,Linda Howard,"Romance, Time Travel, Romantic Suspense, Historical Romance, Historical, Paranormal, Paranormal Romance","3,98"
Non Friction,Morgan Parker,"Romance, Contemporary Romance, Contemporary, Humor, Divorce, Comedy","3,91"
Unthinkable Consequences,Bob Rector,"Mystery, Fiction, Suspense","3,95"
Matter of Choice,R.M. Alexander,"Romance, Contemporary, Contemporary Romance","3,66"
Things Grak Hates,Peter J. Story,"Fiction, Humor, Comedy, Fantasy, Politics, Literary Fiction","3,79"
Safe & Sound,T.S. Krupa,"Romance, Fiction, Contemporary, Contemporary Romance, Adult Fiction","3,89"
Bite Marks,C.J. Galaway,Vampires,"4,62"
Plebs,Jim Goforth,"Horror, Splatterpunk","4,18"
Angelwood. Kings & Queens,Hendrik Birke,Fantasy,"4,15"
How We Fall,Kate Brauning,"Young Adult, Contemporary, Mystery, Romance, Thriller, Fiction, Mystery Thriller","3,65"
Naji and the mystery of the dig,Vahid Imani,"Fiction, Middle Grade","4,61"
The Savvy Womans Secrets to Outwit a Cheating Man,Ellen Ames,Self Help,"4,45"
Survivors Guilt: The Secret Service and the Failure to Protect President Kennedy,Vincent Michael Palamara,"History, Nonfiction, True Crime, Presidents, American History, Crime","4,18"
Into Exile,Elin Toona Gottschalk,"Nonfiction, History, Autobiography","4,66"
Love Them Back to LIFE,Ariane Page,"Self Help, Nonfiction","4,89"
Melody Jackson and the House on Lafayette Street,B.M.B. Johnson,"Fantasy, Young Adult, Paranormal","4,53"
The Rainbow Bridge: Bridge to Inner Peace and to World Peace,Brent N. Hunter,"Nonfiction, Self Help","4,2"
A Thousand Lies,Sharon Sala,"Romantic Suspense, Romance, Suspense, Contemporary Romance, Paranormal, Contemporary, Fiction","4,26"
The Short Life of Sparrows,Emm Cole,"Fantasy, Romance, Witches, Paranormal, Magic, Young Adult, Dark","3,91"
Living My Life,Emma Goldman,"Nonfiction, Biography, Feminism, Politics, Memoir, History, Autobiography","4,32"
Where Pain Thrives,Mie Hansson,Poetry,4
A Gateway to Hope,E.C. Jackson,"Romance, Inspirational","4,29"
American Story: A Lifetime Search for Ordinary People Doing Extraordinary Things,Bob Dotson,"Nonfiction, Journalism, Travel","3,62"
How to Grow an Addict,J.A.  Wright,"Fiction, Mental Health, Contemporary, Coming Of Age, Adult Fiction, Mental Illness, Young Adult","4,17"
Dawn of Procyon,Mark R. Healy,"Science Fiction, Fiction, Aliens, Adventure","4,02"
"Mutantupproret 99,4% DNA",Martin J. Sallberg,"Science Fiction, Dystopia","4,2"
He Whistles for the Cricket,Gwen Walker,Childrens,"4,52"
"The Very Devil, Herself!",Loren Molloy,"Horror, Vampires","3,74"
At First Blush,Beth Ellyn Summer,"Contemporary, Young Adult, Romance, Young Adult Contemporary, Chick Lit, Humor","3,86"
How an iPhone Made Me the Youngest Billionaairee,K SARAFF,"Business, Nonfiction","4,53"
Caras Twelve,Chantel Seabrook,"Fantasy, Romance, Reverse Harem, Fiction, Fantasy Romance, Historical, Young Adult","3,97"
The Devils Prayer,Luke Gracias,"Horror, Historical Fiction, Fiction, Thriller, Mystery, Historical, Paranormal","3,98"
Saltwater,Cathy McLennan,"Nonfiction, True Crime, Crime, Biography, Memoir, Australia","4,2"
Vagabonds in France,Michael  A. Barry,"Travel, Adventure, Nonfiction, France","3,8"
Action Words: Journey of a Journalist,Shaune Bordere,"Historical Fiction, Media Tie In, Christian, Politics, Inspirational, African American Literature, Novels","4,62"
Reminiscences Of A Seeker: Dark Face Of The White World,Kapil Kumar Bhaskar,"Spirituality, Nonfiction","4,4"
Forty Autumns: A Familys Story of Courage and Survival on Both Sides of the Berlin Wall,Nina Willner,"Nonfiction, History, Memoir, Biography, Germany, Historical, Biography Memoir","4,36"
Under The Rug: The Unforgettable Forgotten,L. Marie Williams,Dark,"4,3"
What Healing Should Be: How to relieve pain and stop suffering,George  Alexandru,"Psychology, Mental Health, Nonfiction, Self Help","4,95"
Single-Minded,Lisa Daily,"Chick Lit, Romance, Fiction, Contemporary, Humor","3,55"
Loving Ordinary Life: The Self-Help Book for People Who Are Tired of Self-Help Books,Anastasia Petrenko,"Self Help, Nonfiction","4,01"
A Long Walk to Water: Based on a True Story,Linda Sue Park,"Historical Fiction, Young Adult, Middle Grade, Africa, Fiction, Realistic Fiction, Historical","4,27"
A Butler Christmas,Rahiem Brooks,Christmas,"4,59"
Veronica,Nicholas Christopher,"Fiction, Fantasy, Magical Realism, New York, Urban Fantasy, Magic, Novels","3,8"
Number One Chinese Restaurant,Lillian Li,"Fiction, Contemporary, Food, Literary Fiction, Adult, Audiobook, Adult Fiction","3,01"
The Enigmatic Expanse - Existence,Sreedhar P. Iyer,"Science, Philosophy","4,53"
Are Men the Weaker Sex?,Josette Sona,Feminism,"3,58"
Rush,Lisa Patton,"Fiction, Chick Lit, Contemporary, Southern, Audiobook, Adult Fiction, Adult","3,94"
"Everybody, Always: Becoming Love in a World Full of Setbacks and Difficult People",Bob Goff,"Christian, Nonfiction, Faith, Self Help, Christian Living, Christianity, Religion","4,45"
They Called Me Wyatt,Natasha Tynes,"Fiction, Mystery, Crime, Adult","1,64"
Easy Money Management: A Give and Save 3-6-5 Approach to Personal Finance,Laurick Ingram,Finance,"4,79"
Shalmar (A Tale of Lifetimes Book 1),Serena Whynd,"Fantasy, LGBT","4,17"
Not Just Yet. Egypt 2011: News - Incidents - Causes,Mohamed Abdel-Maksoud,Egypt,"4,53"
The Explorers Mindset: Unlock Health Happiness and Success the Fun Way,Francis Shenstone,"Nonfiction, Philosophy","4,19"
Unju - The Jump,Gleneley Stander,"Science Fiction, Fantasy","4,61"
The Fell,Robert   Jenkins,"Fiction, Contemporary","4,13"
The Night Diary,Veera Hiranandani,"Historical Fiction, Middle Grade, Fiction, Young Adult, Historical, India, Childrens","4,22"
Finding Identity,Silenus Poetry,Poetry,"4,14"
"The Creation of Me, Them and Us",Heather  Marsh,"Nonfiction, Psychology, Politics, Education","4,65"
We of the Forsaken World...,Kiran Bhat,"Fiction, Short Stories, Contemporary, 21st Century, Dystopia, Indian Literature, Literature","4,21"
They Come in All Colors,Malcolm Hansen,"Fiction, Historical Fiction, Literary Fiction, Race, Social Justice, Young Adult, Coming Of Age","3,42"
The Convent,Sarah Sheridan,"Mystery, Thriller, Mystery Thriller",4
The City of Joy,Dominique Lapierre,"India, Fiction, Historical Fiction, Novels, Asia, Travel, France","4,24"
"Muhammad, the World-Changer: An Intimate Portrait",Mohamad Jebara,"History, Nonfiction, Islam, Religion, Biography, Philosophy, Inspirational","4,44"
Show Your Work!: 10 Ways to Share Your Creativity and Get Discovered,Austin Kleon,"Nonfiction, Art, Self Help, Business, Design, Writing, Productivity","4,12"
Pretty Dead Queens,Alexa Donne,"Mystery, Young Adult, Thriller, Mystery Thriller, Contemporary, Fiction, Romance","3,71"
The Water Walls,iLana Markarov,"Fantasy, Adventure",5
The Heart of Touqar - THT -  Epic - Vol 1,Eng.Sara Ahmad,Manga,"4,72"
Paper Targets: Art Can Be Murder,Steve S. Saroff,"Fiction, Mystery, Thriller, Suspense, Crime, Mystery Thriller, Amazon","4,38"
Power And Prediction: The Disruptive Economics of Artificial Intelligence,Ajay Agrawal,"Artificial Intelligence, Business, Technology, Nonfiction, Economics, Science, Finance","4,26"
A Stronger Kinship: One Towns Extraordinary Story of Hope and Faith,Anna-Lisa Cox,"Nonfiction, History, Race, Historical","3,69"
When God Whispers Your Name,Max Lucado,"Christian, Nonfiction, Christian Living, Religion, Spirituality, Christianity, Inspirational","4,27"
Windmills of the Gods,Sidney Sheldon,"Fiction, Thriller, Mystery, Suspense, Mystery Thriller, Romance, Contemporary","3,87"
Bloodline,Sidney Sheldon,"Fiction, Thriller, Mystery, Suspense, Romance, Mystery Thriller, Crime","3,85"
In The Eye of The Beholder:  A Novel of The Phantom of the Opera,Sharon E. Cathcart,"Romance, Historical Fiction, Historical Romance, Fiction, Erotica, Fan Fiction, Horses","3,69"
The Corner: A Year in the Life of an Inner-City Neighborhood,David Simon,"Nonfiction, Crime, True Crime, Sociology, Journalism, History, Politics","4,44"
Jonbull’s Stock Guide,J.P. Obienugh,"Money, Business",4
"Soul Surfer: A True Story of Faith, Family, and Fighting to Get Back on the Board",Bethany Hamilton,"Nonfiction, Biography, Christian, Memoir, Sports, Autobiography, Audiobook","4,06"
Grace of Giving: Turning the Key to Enter and Experience Fullness of Life,Marja Verschoor-Meijers,"Christian, Christianity, Christian Non Fiction","4,21"
O Mandarim,Eça de Queirós,"Classics, Fiction, Portuguese Literature, Portugal, Literature, Romance, Short Stories","3,68"
Economics in One Lesson,Henry Hazlitt,"Economics, Nonfiction, Business, Politics, Finance, Philosophy, History","4,17"
The Robber Hotzenplotz,Otfried Preußler,"Childrens, German Literature, Fiction, Classics, Fantasy, Germany, Adventure","4,22"
From Dictatorship to Democracy,Gene Sharp,"Politics, Nonfiction, History, Political Science, Philosophy, Activism, Psychology","3,81"
The Wicked Girls,Alex Marwood,"Mystery, Fiction, Thriller, Crime, Mystery Thriller, Suspense, Audiobook","3,48"
Caribbean,James A. Michener,"Historical Fiction, Fiction, Historical, Travel, Classics, Novels, Adult Fiction","3,95"
Disneys Prince and the Pauper,Walt Disney Company,"Childrens, Picture Books, Fiction, Classics, Fantasy, Retellings, Adventure","4,04"
Shadowboxer,Paula Sophia,"M M Romance, Transgender","4,32"
Nobodys Boy,Hector Malot,"Classics, Fiction, Childrens, France, French Literature, Novels, Adventure","4,38"
Pravus,Ema Arius,"Paranormal, Fantasy, Romance, Paranormal Romance, Horror",4
Sliding on the Snow Stone,Andy Szpuk,"Nonfiction, History, Memoir, Biography, Ukraine, War, Autobiography","3,67"
The Art of The Fellowship of the Ring,Gary Russell,"Fantasy, Art, Fiction, Classics, Film, Media Tie In, Adventure","4,61"
Radical: Taking Back Your Faith from the American Dream,David     Platt,"Christian, Nonfiction, Christian Living, Christianity, Faith, Theology, Religion","4,18"
"At Swim, Two Boys",Jamie ONeill,"LGBT, Fiction, Historical Fiction, Gay, Queer, Historical, Ireland","4,1"
Regines Book: A Teen Girls Last Words,Regine Stokke,"Nonfiction, Memoir, Biography, Photography, Teen, True Story","4,09"
Women Will Save the World,Caroline A. Shearer,"Nonfiction, Feminism, Essays, Womens, Womens Studies","3,83"
Bone: The Complete Edition,Jeff Smith,"Graphic Novels, Comics, Fantasy, Fiction, Graphic Novels Comics, Adventure, Young Adult","4,45"
The Garden,Robin Craig Clark,"Fantasy, Spirituality, Poetry, Romance, Self Help, Philosophy, Paranormal","3,74"
Voyager: The Art of Pure Awareness,Robin Craig Clark,"Self Help, Spirituality, Nonfiction, Philosophy, Business, Psychology","3,64"
The Scapegoat,Daphne du Maurier,"Fiction, Classics, Mystery, Gothic, Historical Fiction, France, Thriller",4
The Gone-Away World,Nick Harkaway,"Science Fiction, Fiction, Fantasy, Post Apocalyptic, Dystopia, Humor, Science Fiction Fantasy","4,1"
Manuscript Found in Accra,Paulo Coelho,"Fiction, Philosophy, Historical Fiction, Spirituality, Novels, Inspirational, Self Help","3,81"
Winters Bone,Daniel Woodrell,"Fiction, Mystery, Contemporary, Crime, Audiobook, Literary Fiction, Adult Fiction","3,87"
Life Of Love,Santonu Kumar Dhar,Romance,"3,52"
The Last American Martyr,Tom Winton,"Fiction, Thriller, Amazon, Mystery, New York, Contemporary","3,74"
My Prison Without Bars: The Journey of a Damaged Woman to Someplace Normal,Taylor Evan Fulks,"Nonfiction, Abuse, Dark, Psychology, Memoir, Mental Health","4,19"
The Book of Paul,Richard  Long,"Horror, Thriller, Fiction, Fantasy, Mystery, Paranormal, Suspense","3,41"
Eastland,Marian Manseau Cheatham,Historical Fiction,"4,23"
23 Things They Dont Tell You about Capitalism,Ha-Joon Chang,"Economics, Nonfiction, Politics, Business, History, Finance, Philosophy","3,96"
The Immortality Game,Ted Cross,"Science Fiction, Cyberpunk, Fiction, Dystopia","3,69"
Demon Singer I,Benjamin J. Nichols,"Urban Fantasy, Magic, Vampires, Fiction, Fantasy, Paranormal","4,06"
Following the Sun,Alisa Mullen,"Romance, New Adult","4,58"
Incognito: The Secret Lives of the Brain,David Eagleman,"Nonfiction, Psychology, Science, Neuroscience, Brain, Philosophy, Biology","4,08"
Theodore Roosevelt: An Autobiography,Theodore Roosevelt,"Biography, History, Nonfiction, Autobiography, Politics, Presidents, Memoir","3,89"
Debbie Harry Sings in French,Meagan Brothers,"Young Adult, LGBT, Fiction, Teen, Music, Realistic Fiction, Queer","3,7"
Ripples Through Time,Lincoln Cole,"Fiction, Amazon, Family","4,19"
Blind Side,Jennie Ensor,"Thriller, Fiction, British Literature, Psychological Thriller","3,98"
A Moonbow Night,Laura Frantz,"Historical Fiction, Christian Fiction, Historical, Romance, Christian, Fiction, Christian Historical Fiction","4,2"
Introverts: Leverage Your Strengths for an Effective Job Search,Gabriela Casineanu,"Nonfiction, Business, Self Help","4,38"
Echo,Pam Muñoz Ryan,"Historical Fiction, Middle Grade, Fantasy, Young Adult, Fiction, Audiobook, Magical Realism","4,36"
The Interludes: A Sexual Odyssey,J.K. Duval,"Fiction, Erotica, Contemporary, Adult, Love Story, Novels, Romance","4,22"
Rhesus X: Blood Is Thicker Than Water,Roger David Francis,"Horror, Science Fiction","4,24"
Grief Demystified: An Introduction,Caroline Lloyd,"Death, Nonfiction","4,59"
Sea Prayer,Khaled Hosseini,"Poetry, Fiction, Short Stories, Historical Fiction, Graphic Novels, Picture Books, War","4,08"
Resilience Road: Exploring Your Authentic Life Path,Beth Koritz,"Memoir, Nonfiction","4,31"
"N*gga Theory: Race, Language, Unequal Justice, and the Law",Jody Armour,"Race, Nonfiction, Politics, Social Justice, Anti Racist, Law","4,29"
Solitary: Unbroken by Four Decades in Solitary Confinement,Albert Woodfox,"Nonfiction, Memoir, Biography, Race, History, Social Justice, Politics","4,41"
The Fortress,Meša Selimovi?,"Fiction, Classics, Historical Fiction, Historical, Literature, Novels, Serbian Literature","4,68"
The Outcasts - A Thousand Dreams of Redemption,Lidija Stankovikj,"LGBT, India","4,03"
Alexanders Infinity,Lidija Stankovikj,"Mathematics, Metaphysics, India",5
The Paris Apartment,Lucy Foley,"Mystery, Thriller, Fiction, Mystery Thriller, Audiobook, Suspense, Adult","3,68"
Just the Way You Are,Max Lucado,"Picture Books, Childrens, Christian, Fiction, Religion, Fantasy, Christian Fiction","4,48"
Evolution of Insanity,Haresh Daswani,"Psychology, Short Stories, Fiction","4,29"
Julian,Gore Vidal,"Historical Fiction, Fiction, Historical, Literature, Religion, Classics, Novels","4,21"
Dream of the Red Chamber,Tsao Hsueh-Chin,"Classics, Fiction, China, Literature, Historical Fiction, Asia, Chinese Literature","4,18"
Empty Chairs,Stacey Danson,"Nonfiction, Memoir, Abuse, Biography, Autobiography","4,08"
Ingo,Helen Dunmore,"Fantasy, Mermaids, Young Adult, Fiction, Adventure, Middle Grade, Childrens","3,94"
Nira/Sussa,Julian Darius,"Erotica, Dark, BDSM, Fiction, Horror, Literary Fiction, Adult Fiction","3,77"
Time and Again: Time Was / Times Change,Nora Roberts,"Romance, Time Travel, Fiction, Contemporary Romance, Fantasy, Science Fiction, Paranormal Romance","3,79"
Churchill: A Life,Martin  Gilbert,"Biography, History, Nonfiction, Politics, World War II, Biography Memoir, European History","4,09"
Ways to Live Forever,Sally Nicholls,"Young Adult, Fiction, Realistic Fiction, Contemporary, Middle Grade, Childrens, Death","4,19"
Nutrition and Physical Degeneration: A Comparison of Primitive and Modern Diets and Their Effects,Weston A. Price,"Health, Nutrition, Nonfiction, Food, Science, History, Medical","4,37"
The Mind,John     Fitzgerald,Poetry,"4,71"
The Invention of Christianity,Alexander Drake,"Religion, Nonfiction, History, Atheism, Philosophy, Christianity, Theology","4,1"
Metatron: The Angel Has Risen,Laurence St. John,Fantasy,"3,98"
The Sheltering Sky,Paul Bowles,"Fiction, Classics, Africa, Travel, Literature, Novels, Historical Fiction","3,9"
The Book of Night Women,Marlon James,"Historical Fiction, Fiction, Historical, African American, Literary Fiction, Novels, Race","4,38"
Fuzzy Green Things,Jennifer Szewczuk,Fiction,"4,32"
Johnny the Homicidal Maniac: Directors Cut,Jhonen Vásquez,"Comics, Graphic Novels, Horror, Fiction, Humor, Graphic Novels Comics, Comic Book","4,34"
Four Days with Hemingways Ghost,Tom Winton,"Fiction, Historical Fiction, Paranormal, Historical, Fantasy, Contemporary, Time Travel","3,6"
The Peach Keeper,Sarah Addison Allen,"Fiction, Magical Realism, Romance, Chick Lit, Fantasy, Contemporary, Mystery","3,85"
The Painter,Peter Heller,"Fiction, Art, Contemporary, Literary Fiction, Mystery, Audiobook, Crime","3,81"
All My Friends Are Dead,Jory John,"Humor, Fiction, Graphic Novels, Picture Books, Childrens, Comics, Comedy","4,15"
Little Children,Tom Perrotta,"Fiction, Contemporary, Adult Fiction, Literary Fiction, Novels, Adult, Book Club","3,63"
A Dry White Season,André Brink,"Africa, Fiction, South Africa, Historical Fiction, Classics, African Literature, Novels","4,06"
King Arthurs Sister in Washingtons Court,Kim Iverson Headlee,"Fantasy, Fiction, Historical Fiction, Science Fiction, Time Travel, Comedy, Arthurian","3,5"
Flipping Numbers PT 1,Ernest Morris,Drama,"3,96"
There Will Be Lies,Nick Lake,"Young Adult, Mystery, Contemporary, Thriller, Fantasy, Fiction, Magical Realism","3,44"
Ajs Ireland: A Christmas Comedy,Renee Riva,"Humor, Family, Adventure","4,43"
The Fantastic Flying Books of Mr. Morris Lessmore,William Joyce,"Picture Books, Fantasy, Childrens, Books About Books, Fiction, Adventure, Juvenile","4,45"
Walking the Path of Compassion,Amit Ray,"Spirituality, Inspirational, Self Help","4,88"
Calls Across the Pacific,Zoë S. Roy,"China, Fiction, Historical Fiction","4,23"
Dont Lets Go to the Dogs Tonight: An African Childhood,Alexandra Fuller,"Memoir, Nonfiction, Africa, Biography, Biography Memoir, Autobiography, Travel","3,96"
Twisting My Kaleidoscope,Shannon Love,"Memoir, Nonfiction","4,6"
"What Does it Mean to be White in America?: Breaking the White Code of Silence, A Collection of Personal Narratives (2LP EXPLORATIONS IN DIVERSITY)",Gabrielle David,"Anthropology, Essays","3,79"
Napoleon: A Life,Andrew Roberts,"History, Biography, Nonfiction, France, War, European History, Biography Memoir","4,18"
The Terror,Dan Simmons,"Horror, Historical Fiction, Fiction, Fantasy, Thriller, Historical, Adventure","4,07"
"God, the Evolver: A Secular Approach to the Divine",Faiz King,"Nonfiction, Religion, Spirituality, Philosophy","4,53"
Imaginary Museums: Stories,Nicolette Polek,"Short Stories, Fiction, Contemporary, Literary Fiction, Anthologies, Adult, Flash Fiction","3,62"
Wheres Waldo?,Martin Handford,"Childrens, Picture Books, Fiction, Classics, Banned Books, Art, Humor","4,17"
The Blue Umbrella,Ruskin Bond,"Fiction, Short Stories, Childrens, India, Indian Literature, Novella, Classics","4,26"
