Book,Author,Genres,Avg_Rating
The Tale of Peter Rabbit,Beatrix Potter,"Childrens, Classics, Picture Books, Fiction, Animals, Fantasy, Short Stories","4,21"
The Phantom Tollbooth,Norton Juster,"Fantasy, Fiction, Classics, Childrens, Young Adult, Middle Grade, Adventure","4,19"
The Things They Carried,Tim OBrien,"Fiction, Historical Fiction, Classics, War, Short Stories, School, Historical","4,14"
Number the Stars,Lois Lowry,"Historical Fiction, Young Adult, Fiction, Classics, Childrens, Historical, Middle Grade","4,18"
The Constitution of the United States of America,Founding Fathers,"History, Nonfiction, Politics, Classics, Philosophy, Law, Reference","4,52"
Bury My Heart at Wounded Knee: An Indian History of the American West,Dee Brown,"History, Nonfiction, American History, Classics, Historical, Politics, Race","4,24"
James and the Giant Peach,Roald Dahl,"Childrens, Fantasy, Fiction, Classics, Young Adult, Middle Grade, Adventure","4,03"
The Complete Maus,Art Spiegelman,"Graphic Novels, Comics, Nonfiction, History, Biography, Memoir, Historical","4,57"
Middlesex,Jeffrey Eugenides,"Fiction, Historical Fiction, Contemporary, LGBT, Literary Fiction, Classics, Novels","4,03"
Schindlers List,Thomas Keneally,"History, Nonfiction, Classics, Holocaust, War, Historical, World War II","4,34"
The Autobiography of Malcolm X,Malcolm X,"Nonfiction, Biography, History, Memoir, Autobiography, Race, Politics","4,35"
The Essential Calvin and Hobbes: A Calvin and Hobbes Treasury,Bill Watterson,"Comics, Humor, Graphic Novels, Fiction, Childrens, Graphic Novels Comics, Comedy","4,64"
A Little Princess,Frances Hodgson Burnett,"Classics, Fiction, Childrens, Young Adult, Historical Fiction, Middle Grade, Historical","4,22"
Three Cups of Tea: One Mans Mission to Promote Peace ... One School at a Time,Greg Mortenson,"Nonfiction, Memoir, Biography, Travel, Education, Book Club, Biography Memoir","3,66"
Leaves of Grass,Walt Whitman,"Poetry, Classics, Fiction, Literature, American, 19th Century, Philosophy","4,11"
Into the Wild,Jon Krakauer,"Travel, Adventure, Classics, Fiction, Nature, School, Biography Memoir",4
Their Eyes Were Watching God,Zora Neale Hurston,"Classics, Fiction, Historical Fiction, School, African American, Literature, Feminism","3,97"
The Wind in the Willows,Kenneth Grahame,"Fiction, Fantasy, Childrens, Classics, Animals, Young Adult, Adventure",4
Speak,Laurie Halse Anderson,"Young Adult, Fiction, Contemporary, Realistic Fiction, Mental Health, Teen, Coming Of Age","4,04"
Peter Pan,J.M. Barrie,"Classics, Fantasy, Fiction, Childrens, Adventure, Young Adult, Middle Grade","4,04"
The Republic,Plato,"Philosophy, Classics, Nonfiction, Politics, History, School, Literature","3,96"
A Peoples History of the United States,Howard Zinn,"History, Nonfiction, Politics, American History, Historical, Social Justice, Classics","4,07"
The World According to Garp,John Irving,"Fiction, Classics, Contemporary, Literature, Novels, Literary Fiction, Humor","4,1"
Looking for Alaska,John Green,"Young Adult, Fiction, Contemporary, Romance, Realistic Fiction, Coming Of Age, Teen","3,98"
The Story of My Life,Helen Keller,"Nonfiction, Biography, Classics, Memoir, History, Autobiography, Biography Memoir","4,08"
The Secret Magdalene,Ki Longfellow,"Historical Fiction, Fiction, Religion, Historical, Spirituality, Novels, Literature","4,16"
A Short History of Nearly Everything,Bill Bryson,"Nonfiction, Science, History, Audiobook, Humor, Physics, Popular Science","4,21"
"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",Terry Pratchett,"Fantasy, Fiction, Humor, Urban Fantasy, Comedy, Audiobook, Science Fiction Fantasy","4,25"
The Addiction Manifesto,Jerry Weaver,"Nonfiction, Self Help, Memoir, Mental Health, Biography","4,87"
A Brief History of Time,Stephen Hawking,"Science, Nonfiction, Physics, History, Classics, Astronomy, Philosophy","4,21"
Island of the Blue Dolphins,Scott ODell,"Young Adult, Fiction, Historical Fiction, Classics, Childrens, Middle Grade, Adventure","3,86"
A Farewell to Arms,Ernest Hemingway,"Classics, Fiction, Historical Fiction, War, Literature, Novels, American","3,81"
Cats Cradle,Kurt Vonnegut Jr.,"Fiction, Classics, Science Fiction, Humor, Literature, Novels, Dystopia","4,16"
A Separate Peace,John Knowles,"Classics, Fiction, Young Adult, Historical Fiction, School, Coming Of Age, High School","3,59"
Blindness,José Saramago,"Fiction, Dystopia, Science Fiction, Classics, Novels, Literature, Portugal","4,16"
The Complete Fairy Tales,Hans Christian Andersen,"Classics, Fantasy, Fiction, Childrens, Fairy Tales, Short Stories, Literature","4,29"
The Raven,Edgar Allan Poe,"Classics, Poetry, Horror, Fiction, Short Stories, Gothic, School","4,29"
The Shack,William Paul Young,"Fiction, Christian, Christian Fiction, Religion, Spirituality, Faith, Inspirational","3,81"
The God Delusion,Richard Dawkins,"Nonfiction, Religion, Science, Philosophy, Atheism, Psychology, Spirituality","3,9"
Madame Bovary,Gustave Flaubert,"Classics, Fiction, France, Literature, French Literature, Romance, 19th Century","3,7"
The Joy Luck Club,Amy Tan,"Fiction, Historical Fiction, Classics, China, Contemporary, Adult Fiction, Adult","3,96"
Tao Te Ching,Lao Tzu,"Philosophy, Nonfiction, Classics, Religion, Spirituality, Poetry, China","4,3"
Sophies Choice,William Styron,"Fiction, Classics, Historical Fiction, Holocaust, War, Historical, World War II","4,18"
The Neverending Story,Michael Ende,"Fantasy, Classics, Fiction, Young Adult, Childrens, Adventure, German Literature","4,18"
A Confederacy of Dunces,John Kennedy Toole,"Fiction, Classics, Humor, Literature, Comedy, Novels, American","3,88"
Never Let Me Go,Kazuo Ishiguro,"Fiction, Science Fiction, Dystopia, Contemporary, Literary Fiction, Romance, Adult","3,84"
How to Win Friends and Influence People,Dale Carnegie,"Self Help, Nonfiction, Business, Psychology, Personal Development, Leadership, Communication","4,22"
Extremely Loud & Incredibly Close,Jonathan Safran Foer,"Fiction, Contemporary, Historical Fiction, Novels, Literary Fiction, Adult, Adult Fiction","3,97"
Flow Down Like Silver,Ki Longfellow,"Historical Fiction, Fiction, Egypt, Historical, Philosophy, Literature, Africa","3,98"
"Guns, Germs, and Steel: The Fates of Human Societies",Jared Diamond,"History, Nonfiction, Science, Anthropology, Sociology, Politics, Economics","4,04"
Tess of the DUrbervilles,Thomas Hardy,"Classics, Fiction, Romance, Literature, Historical Fiction, 19th Century, Victorian","3,82"
The Tao of Pooh,Benjamin Hoff,"Philosophy, Nonfiction, Spirituality, Religion, Self Help, Audiobook, Taoism",4
One Day in the Life of Ivan Denisovich,Aleksandr Solzhenitsyn,"Fiction, Classics, Russia, Historical Fiction, Russian Literature, Literature, Novels","3,97"
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,"Self Help, Nonfiction, Business, Personal Development, Psychology, Leadership, Productivity","4,15"
Ulysses,James Joyce,"Classics, Fiction, Literature, Novels, Ireland, Irish Literature, 20th Century","3,75"
A Light in the Attic,Shel Silverstein,"Poetry, Childrens, Classics, Fiction, Humor, Young Adult, Picture Books","4,35"
